品目番号,品目名称,year_label,index_value,year,metric
1000000000,鉱工業,2018CY,114.6,2018,production
1100000000,製造工業,2018CY,114.7,2018,production
1101000000,鉄鋼・非鉄金属工業,2018CY,123.1,2018,production
1101100000,鉄鋼業,2018CY,128.1,2018,production
1101101000,鉄鋼粗製品,2018CY,125.2,2018,production
1101102000,熱間圧延鋼材,2018CY,128.1,2018,production
1101103000,冷間仕上鋼材,2018CY,130.1,2018,production
1101104000,鋼管,2018CY,135.9,2018,production
1101105000,めっき鋼材,2018CY,132.1,2018,production
1101106000,鋳鍛造品,2018CY,127.3,2018,production
1101200000,非鉄金属工業,2018CY,116.3,2018,production
1101201000,非鉄金属精錬・精製品,2018CY,106.0,2018,production
1101202000,非鉄金属圧延製品,2018CY,120.4,2018,production
1101203000,電線・ケーブル,2018CY,107.7,2018,production
1101204000,非鉄金属鋳物,2018CY,129.3,2018,production
1102000000,金属製品工業,2018CY,114.5,2018,production
1102001000,建設用金属製品,2018CY,107.6,2018,production
1102002000,建築用金属製品,2018CY,113.2,2018,production
1102003000,暖房・調理等装置,2018CY,110.7,2018,production
1102004000,粉末冶金製品,2018CY,127.7,2018,production
1102005000,金属線製品,2018CY,121.9,2018,production
1102006000,缶類,2018CY,109.4,2018,production
1102007000,その他の金属製品,2018CY,121.1,2018,production
1103000000,生産用機械工業,2018CY,123.3,2018,production
1103001000,農業用機械,2018CY,115.0,2018,production
1103002000,建設・鉱山機械,2018CY,110.5,2018,production
1103003000,生活関連産業用機械,2018CY,128.7,2018,production
1103004000,基礎素材産業用機械,2018CY,125.8,2018,production
1103005000,金属加工機械,2018CY,179.3,2018,production
1103006000,半導体・フラットパネルディスプレイ製造装置,2018CY,111.7,2018,production
1103007000,機械工具,2018CY,117.7,2018,production
1103008000,その他の生産用機械,2018CY,122.8,2018,production
1104000000,汎用・業務用機械工業,2018CY,121.4,2018,production
1104100000,汎用機械工業,2018CY,122.7,2018,production
1104101000,ボイラ・原動機,2018CY,150.1,2018,production
1104102000,ポンプ・圧縮機器,2018CY,115.3,2018,production
1104103000,運搬装置,2018CY,111.2,2018,production
1104104000,冷凍機・温湿調整装置,2018CY,117.0,2018,production
1104105000,汎用機械器具部品,2018CY,123.3,2018,production
1104200000,業務用機械工業,2018CY,116.0,2018,production
1104201000,事務用機器,2018CY,69.9,2018,production
1104202000,サービス用機器,2018CY,126.2,2018,production
1104203000,計測機器,2018CY,110.3,2018,production
1104204000,分析機器・試験機,2018CY,107.5,2018,production
1104205000,光学機器・レンズ,2018CY,151.6,2018,production
