品目名称,2019CY,2020CY,2021CY,drop_pct,recovery_pct,2019to2021_pct
鉱工業,111.6,100,105.4,-10.394265232974906,5.400000000000006,-5.555555555555546
製造工業,111.6,100,105.4,-10.394265232974906,5.400000000000006,-5.555555555555546
鉄鋼・非鉄金属工業,116.4,100,112.7,-14.089347079037806,12.700000000000003,-3.178694158075604
鉄鋼業,121.1,100,116.7,-17.42361684558216,16.700000000000003,-3.633360858794378
鉄鋼粗製品,119.6,100,115.7,-16.387959866220733,15.700000000000003,-3.2608695652173845
熱間圧延鋼材,121.0,100,116.5,-17.355371900826448,16.5,-3.71900826446281
冷間仕上鋼材,122.3,100,120.8,-18.233851185609158,20.799999999999997,-1.2264922322158627
鋼管,128.5,100,102.8,-22.17898832684825,2.799999999999997,-20.0
めっき鋼材,123.2,100,119.1,-18.83116883116883,19.099999999999994,-3.3279220779220844
鋳鍛造品,119.7,100,117.8,-16.457811194653303,17.799999999999997,-1.587301587301592
非鉄金属工業,110.2,100,107.3,-9.255898366606173,7.299999999999997,-2.631578947368426
非鉄金属精錬・精製品,99.3,100,98.7,0.7049345417925507,-1.2999999999999972,-0.6042296072507496
非鉄金属圧延製品,112.6,100,114.1,-11.190053285968023,14.099999999999993,1.3321492007104796
電線・ケーブル,105.3,100,111.0,-5.033238366571697,11.0,5.4131054131054155
非鉄金属鋳物,123.5,100,109.5,-19.02834008097166,9.5,-11.336032388663968
金属製品工業,112.7,100,103.5,-11.268855368234252,3.5000000000000004,-8.163265306122451
建設用金属製品,110.7,100,94.3,-9.665763324299911,-5.700000000000003,-14.81481481481482
建築用金属製品,113.1,100,102.1,-11.582670203359854,2.0999999999999943,-9.725906277630417
暖房・調理等装置,103.8,100,97.1,-3.6608863198458548,-2.9000000000000057,-6.454720616570331
粉末冶金製品,122.1,100,117.1,-18.099918099918096,17.099999999999994,-4.095004095004095
金属線製品,122.1,100,109.1,-18.099918099918096,9.099999999999994,-10.647010647010648
缶類,107.6,100,103.3,-7.0631970260223,3.299999999999997,-3.9962825278810383
その他の金属製品,118.7,100,105.7,-15.754001684919968,5.700000000000003,-10.951979780960404
生産用機械工業,112.1,100,121.6,-10.793933987511146,21.599999999999994,8.474576271186441
農業用機械,116.7,100,119.6,-14.310197086546703,19.599999999999994,2.4850042844901385
建設・鉱山機械,111.1,100,120.8,-9.990999099909986,20.799999999999997,8.730873087308733
生活関連産業用機械,117.8,100,97.3,-15.110356536502545,-2.700000000000003,-17.40237691001698
基礎素材産業用機械,125.6,100,111.6,-20.382165605095537,11.599999999999994,-11.146496815286625
金属加工機械,154.3,100,117.3,-35.19118600129618,17.299999999999997,-23.97926117952042
半導体・フラットパネルディスプレイ製造装置,97.2,100,131.5,2.880658436213989,31.5,35.288065843621396
機械工具,113.3,100,121.1,-11.738746690203,21.099999999999994,6.884377758164163
その他の生産用機械,106.2,100,121.1,-5.8380414312617726,21.099999999999994,14.030131826741988
汎用・業務用機械工業,114.1,100,111.2,-12.357581069237506,11.200000000000003,-2.5416301489921045
汎用機械工業,114.0,100,112.5,-12.280701754385964,12.5,-1.3157894736842104
ボイラ・原動機,119.0,100,109.4,-15.966386554621847,9.400000000000006,-8.067226890756297
ポンプ・圧縮機器,107.9,100,117.5,-7.3215940685820255,17.5,8.89712696941612
運搬装置,114.0,100,98.3,-12.280701754385964,-1.7000000000000028,-13.771929824561404
冷凍機・温湿調整装置,117.8,100,113.3,-15.110356536502545,13.299999999999997,-3.8200339558573853
