品目番号,品目名称,在庫ウエイト,2018CY,2019CY,2020CY,2021CY,2022CY,2023CY,2024CY,2025CY,2018FY,2019FY,2020FY,2021FY,2022FY,2023FY,2024FY,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
1000000000,鉱工業,10000.0,102.6,103.3,100,96.1,101.2,104.1,102.2,100.2,102.7,103.8,97.5,97.8,101.8,103.8,102.2,101.7,102.8,103.9,102.1,101.9,103.6,104.7,103.1,104,102.8,98.8,94.3,93.9,94.8,96.5,99.1,101,99.1,102.1,102.8,103,105.3,105,103.2,101.5,102.8,103,101.6,101.3,100.3,100.4,98.6
1100000000,製造工業,9985.0,102.7,103.3,100,96.1,101.3,104.2,102.2,100.2,102.7,103.8,97.5,97.9,101.8,103.8,102.2,101.8,102.8,103.9,102.2,101.9,103.6,104.7,103.1,104,102.8,98.8,94.3,93.9,94.8,96.5,99.2,101,99.1,102.1,102.8,103.1,105.3,105,103.2,101.5,102.8,103,101.6,101.3,100.3,100.4,98.6
1101000000,鉄鋼・非鉄金属工業,1538.6,104.7,106.5,100,100.5,108.2,102.2,100.6,97.3,104.3,108.4,96.7,103.5,107.8,100.8,100.3,103.3,105.2,106.7,103.6,101.7,108.4,108.5,107.4,109.4,103.9,95.6,91.1,96.2,99.6,101,105.3,108.1,109,108.3,107.5,106.5,103.6,100.5,98.2,100.7,100.5,101.5,99.6,99.5,98,96.1,95.4
1101100000,鉄鋼業,1209.0,105.5,107.8,100,99.5,105.5,97.8,96.9,92,104.9,110.2,95.9,102.8,103.7,97.2,95.7,104.1,106,107.8,104.2,101.7,109.8,110.9,109,111.2,104.2,94.9,89.7,94.7,98.7,100.1,104.7,107.9,105.8,105.5,102.7,101,98.5,96.2,95.6,98.4,97.3,96.9,95,93.8,93.6,91.2,89.2
1101101000,鉄鋼粗製品,553.0,96,101.6,100,92.5,103.2,97.7,96.9,90.8,95,106.3,94.5,96.5,102.3,96.7,96.8,95.3,96.2,96,96.3,91.4,102.9,105.6,106.4,110.4,107.6,95.7,86.3,88.3,92.5,91,98.4,104.1,101.8,105.4,101.4,100.7,98.1,94,97.9,96.9,97.2,95.2,98.2,96.5,94.3,88.5,83.6
1101102000,熱間圧延鋼材,372.0,113.2,113,100,107.4,107.5,98.2,96.1,91.7,113.2,113,97.8,109.4,105.5,97.6,94.2,110.8,113.4,117.7,110.9,110.9,116.1,114.3,110.9,110.8,98,96.3,95,101.9,106.8,109.2,111.8,109.8,109.2,107.3,103.8,101.6,99.4,98.2,93.5,99.3,97.2,97.6,90.4,91.5,91.6,91.3,92.3
1101103000,冷間仕上鋼材,113.6,109.1,112.5,100,107.1,114.7,101.7,101.5,97.5,109.7,113.6,96.4,112.6,111.8,100.4,98.8,105.4,109.2,115.4,106.3,108,115.7,116.3,109.8,112.5,102.3,93.2,92,98.2,102.7,111.9,115.7,120.1,117,110.8,110.9,108.5,101.3,102.1,94.8,103.6,101.2,105,96.1,92.8,99,99.3,99
1101104000,鋼管,81.8,123.5,117.8,100,93.9,99.6,90.7,90.6,86.6,120.3,118.2,94.5,96.2,96.4,91.2,89.1,127.6,125.8,119.4,121.3,114.8,118,119.9,118.4,116.3,112.2,87.7,83.9,94.4,96.3,92.6,92.4,103.5,101.9,95.3,97.6,90.7,90.9,90.6,90.6,92.6,89.1,90,90.6,86.6,86.4,86.7,86.6
1101105000,めっき鋼材,65.5,114.3,111.1,100,106.9,104.9,96.6,99.5,96.5,113.6,112.7,96.9,110.2,100.9,97.2,96.9,109.7,117.7,124.2,105.7,106.9,112,117.3,108.1,113.6,105.3,91.4,89.6,101.3,100.3,112.6,113.6,114.5,105.5,100.6,98.9,98.5,98.5,96.6,92.6,101.2,99.9,100.8,95.8,90.9,95.4,100.6,99.2
1101106000,鋳鍛造品,23.1,105.8,107.2,100,101,104.8,104.9,102.5,103.4,107.3,106.8,97.3,103.5,104.8,104.4,102.5,102.4,103.6,107,110,108.4,108,105.4,106.8,107.1,101.4,96.4,95.1,96.1,99.9,102.7,105.3,106,106.4,102.6,104.1,106.1,104.7,103.8,105.1,103.9,102.6,102.1,101.4,103.8,103.8,102.2,103.6
