品目番号,品目名称,在庫ウエイト,2018CY,2019CY,2020CY,2021CY,2022CY,2023CY,2024CY,2025CY,2018FY,2019FY,2020FY,2021FY,2022FY,2023FY,2024FY,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
1000000000,鉱工業,10000.0,100.5,101,92.6,98.5,101.2,100.7,98.8,96,98.6,101,91.2,98.4,100.6,99.6,99,99.6,103,101.8,100.5,98.6,104.9,101.8,101,101,100.9,95.7,92.6,91.2,96.1,96.7,98.5,98.4,100.6,102.7,101.2,100.6,106.3,102.7,100.7,99.6,103.5,101.5,98.8,99,100.4,99.2,96
1100000000,製造工業,9985.0,100.6,101,92.5,98.5,101.2,100.7,98.8,96,98.6,101,91.2,98.4,100.6,99.6,99,99.6,103,101.8,100.6,98.6,104.9,101.8,101,101,100.9,95.7,92.5,91.2,96.1,96.7,98.5,98.4,100.6,102.8,101.2,100.6,106.3,102.7,100.7,99.6,103.5,101.5,98.8,99,100.5,99.2,96
1101000000,鉄鋼・非鉄金属工業,1538.6,104.1,108.1,92,107.6,107.7,97.4,98.5,94.6,99.7,106.9,93.6,106.3,102,99.5,98.7,100.5,105.2,110.3,104.1,99.7,110.3,107.8,108.1,106.9,102.6,92.8,92,93.6,100.2,102.9,107.6,106.3,108.5,108.8,107.7,102,102.7,98.9,97.4,99.5,101.3,100.9,98.5,98.7,97.5,94.7,94.6
1101100000,鉄鋼業,1209.0,103.8,108.4,90.3,106.5,101.6,94.6,93,87.8,100,107.9,91.6,104.7,96.9,96,92.2,100.1,106.5,111.7,103.8,100,112.3,109.1,108.4,107.9,102,92,90.3,91.6,99.1,101.8,106.5,104.7,104.8,106.7,101.6,96.9,97.6,95.4,94.6,96,97.5,96.1,93,92.2,92.9,89.4,87.8
1101101000,鉄鋼粗製品,553.0,96.2,107.3,85.6,101.8,100.4,97.3,98,81.1,91.7,107.6,85.9,101.6,97.1,94.3,94.2,91.9,95.4,96.7,96.2,91.7,105.7,106.2,107.3,107.6,105.9,90.6,85.6,85.9,94.1,91.5,101.8,101.6,103,106.1,100.4,97.1,96.7,95,97.3,94.3,98.2,93.6,98,94.2,94.1,85.7,81.1
1101102000,熱間圧延鋼材,372.0,111.1,108.9,97,113,102.8,92.9,88.4,92.4,107.5,104.6,98.7,105.5,96.5,99,92.1,105.9,114.7,125.1,111.1,107.5,119.4,108.2,108.9,104.6,97,95.7,97,98.7,105.8,111.8,113,105.5,107.1,107.6,102.8,96.5,99.3,96.1,92.9,99,96.3,97.5,88.4,92.1,89.9,90.2,92.4
1101103000,冷間仕上鋼材,113.6,105.8,105.3,93.8,112.7,109.6,92.4,88.9,95.5,106.9,115.2,92.7,117.7,103.9,97.5,90.1,101.5,111.7,123.1,105.8,106.9,116,114,105.3,115.2,95.8,92.8,93.8,92.7,103.2,115.5,112.7,117.7,115.5,115.8,109.6,103.9,97.5,98.1,92.4,97.5,102.1,103.8,88.9,90.1,97.4,97.4,95.5
1101104000,鋼管,81.8,118.7,121.2,84.6,96,97.5,87.4,86.1,86.5,108.6,112.4,92.7,100.7,87.2,84.8,82.6,123.1,125.4,123.2,118.7,108.6,119.7,121.5,121.2,112.4,112,83.1,84.6,92.7,95,91.2,96,100.7,96.4,95.8,97.5,87.2,92.3,89.4,87.4,84.8,91.5,87.9,86.1,82.6,86.6,84.6,86.5
1101105000,めっき鋼材,65.5,101.4,104.9,91,112.1,96.4,89.8,89.9,99.6,102.7,112.6,93.7,108,94.5,101.6,87.9,105.1,121.2,129.8,101.4,102.7,114.6,116.8,104.9,112.6,96.1,90.9,91,93.7,99.6,119.5,112.1,108,98,105.7,96.4,94.5,99.3,94.1,89.8,101.6,96.9,104.7,89.9,87.9,96,102.9,99.6
1101106000,鋳鍛造品,23.1,111.6,107.6,96.3,105,104.8,103.5,100.8,104.2,107,105.4,97.9,106.5,106.5,102.8,104.1,101.8,105,107.5,111.6,107,107.3,102.9,107.6,105.4,99.4,95.8,96.3,97.9,102.1,105.6,105,106.5,106.2,102.5,104.8,106.5,104.6,103.5,103.5,102.8,101.7,100.4,100.8,104.1,102.5,101.8,104.2
1101200000,非鉄金属工業,329.6,105.4,106.9,98.3,111.5,129.8,107.7,118.5,119.7,98.6,103,100.7,112.2,120.9,112.4,122.6,102.1,100.4,105.1,105.4,98.6,103,102.9,106.9,103,104.8,95.7,98.3,100.7,104.2,107,111.5,112.2,122.2,116.4,129.8,120.9,121.8,111.7,107.7,112.4,115.1,118.6,118.5,122.6,114.6,114.4,119.7
1101201000,非鉄金属精錬・精製品,135.7,112,112.3,97.6,111,123.3,88.3,115.6,97.2,98.3,108.3,104.1,106.2,117.5,102.3,118.5,111.6,100.9,113.7,112,98.3,106.5,107.2,112.3,108.3,106.2,96.5,97.6,104.1,110.4,113.1,111,106.2,118.8,113.9,123.3,117.5,119.7,100,88.3,102.3,105.1,105.5,115.6,118.5,98.4,99.5,97.2
1101202000,非鉄金属圧延製品,95.3,102.4,104,99.3,103.7,109.4,104.7,104.7,109.3,100.4,99.9,94.1,98.3,105.4,104.1,100.5,92,97,97.5,102.4,100.4,102.2,101.3,104,99.9,102,96.4,99.3,94.1,92.4,90,103.7,98.3,104.8,101.6,109.4,105.4,104.3,101.1,104.7,104.1,102.7,100.6,104.7,100.5,102.8,105.6,109.3
1101203000,電線・ケーブル,98.6,99.1,102.4,98.3,119.7,158.4,137.3,135.8,160.5,97.3,98.7,102.4,134,140.6,134.4,149.4,98.8,102.9,100.8,99.1,97.3,99,98.5,102.4,98.7,105.6,94.1,98.3,102.4,107.2,115.2,119.7,134,143.6,134.1,158.4,140.6,141.5,137.8,137.3,134.4,140.9,154.1,135.8,149.4,148.3,143.3,160.5
1101204000,非鉄金属鋳物,0.0,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1102000000,金属製品工業,469.3,91.3,93.9,84.4,80.9,95.1,94.9,90.7,87.1,96.8,97,86.6,86.5,103.4,98.8,90.6,88.6,103.2,105,91.3,96.8,107.4,103.5,93.9,97,106.7,103.8,84.4,86.6,97.3,94.1,80.9,86.5,97.2,99.7,95.1,103.4,110.9,110.4,94.9,98.8,104.6,102.8,90.7,90.6,97.1,98,87.1
1102001000,建設用金属製品,0.0,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1102002000,建築用金属製品,90.4,100.4,107.9,85.5,86.9,94.5,85.2,80.6,80.1,104.4,104.7,89.1,87.7,97,84.8,77,97.8,109.3,106.6,100.4,104.4,111,107.5,107.9,104.7,104.7,95.4,85.5,89.1,92.6,92,86.9,87.7,95.7,96.4,94.5,97,98.8,95.8,85.2,84.8,85.3,84.1,80.6,77,82.4,83.6,80.1
1102003000,暖房・調理等装置,141.5,84.1,81,68.1,54.3,75.1,85,83.6,75.3,88.7,88.4,72.4,64,99.7,96.6,87,68.7,108.4,120.3,84.1,88.7,117.2,111.3,81,88.4,113.4,116.9,68.1,72.4,104,91.4,54.3,64,84.8,91.8,75.1,99.7,122.7,127.6,85,96.6,112.8,114.2,83.6,87,98.2,107.1,75.3
