品目番号,品目名称,在庫率ウエイト,2018CY,2019CY,2020CY,2021CY,2022CY,2023CY,2024CY,2025CY,2018FY,2019FY,2020FY,2021FY,2022FY,2023FY,2024FY,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
1000000000,鉱工業,9704.2,85.5,89.5,100,89.8,96.6,104,106.1,106.2,85.9,91.7,98.1,91.7,98.6,104.8,106.4,85.3,86.1,86.7,83.9,87.1,89.8,89.8,91.3,95.8,115.6,99.9,88.7,88.2,88.7,91.4,91.1,95.5,96.1,97.5,97.3,103.3,106.1,105.1,101.4,106.4,107.5,107.3,103.3,107.6,107.8,107.7,101.6
1100000000,製造工業,9689.2,85.5,89.5,100,89.8,96.6,104,106.1,106.2,85.9,91.7,98.1,91.7,98.6,104.8,106.4,85.3,86.1,86.7,83.9,87.1,89.8,89.8,91.3,95.8,115.6,99.9,88.7,88.2,88.7,91.4,91.1,95.5,96.1,97.5,97.3,103.3,106.1,105.1,101.4,106.4,107.5,107.3,103.3,107.6,107.8,107.7,101.6
1101000000,鉄鋼・非鉄金属工業,1501.1,83.3,89.7,100,88.5,99.3,97.8,99,98.5,83.6,92.6,97.8,91.3,100.2,96.9,99.5,82,82.4,87.6,81.4,83.1,90,92.6,93.2,94.6,117.4,102.9,85.1,86,87.8,88.9,91.5,97,98.9,101.4,99.9,100.7,98.1,97.3,95,97.3,99.1,102.2,97.4,99.1,99.4,98,97.4
1101100000,鉄鋼業,1171.5,80.9,87.9,100,85.8,96.6,92.8,95.6,94,81.2,91.5,97.2,88.9,96.7,92.6,95.5,79.2,80,85.5,79.1,80.1,87.5,91.5,92.4,94.4,118.9,103.1,83.5,83.2,85,85.9,89.2,95.6,95.7,99.2,96,95.8,92.9,91.4,91,95.1,96.1,97.5,93.8,94.7,96,93.6,91.8
1101101000,鉄鋼粗製品,515.5,73.5,83.2,100,77.9,93.5,91.6,93.5,91.5,73.9,88.2,95.7,81.6,94.6,90.6,94.6,72.1,72.2,74.8,74.8,73.7,80.3,87.6,91.3,93.4,122.3,103.8,80.5,76.1,77.4,76.4,81.7,90.8,89.3,97.8,96,95.3,90.2,88.8,92.1,91.4,92.8,93.8,95.9,96,95.2,90.2,84.4
1101102000,熱間圧延鋼材,372.0,87.8,92.4,100,92.7,97.8,93.2,95.2,94.6,88.1,94.9,98.3,94.5,97.6,93.1,94.7,85.9,86.2,94.9,84.3,87.1,92.9,95.3,94.4,96.8,112.3,104.1,86.8,90.1,92.2,93.2,95.5,97.2,97.9,100.5,95.7,96.4,93.3,93,89.9,96,95.7,98.8,90.2,93.9,94.7,94,95.7
1101103000,冷間仕上鋼材,113.6,81.9,90.1,100,87.3,103.5,96.9,100.6,96.7,83.1,92.5,96.7,93.6,103,96.7,98.5,78.2,81.5,90,77.9,82.8,93.5,93.9,90.2,92.3,120.4,107.4,79.9,79,83.3,91.4,95.3,104.4,106.5,103.5,99.7,102.2,99.8,95.7,90,101.4,103.3,104,93.6,92.9,98.5,96,99.3
1101104000,鋼管,81.8,91.4,93.2,100,98.8,100,94.3,101.6,99.9,88.9,96.2,102.2,98.3,97.8,96.1,100.6,92.4,92.3,94.2,86.7,82.2,99.2,94.8,96.5,94.2,118.8,91.1,95.8,103,104,94.7,93.5,101.1,102.6,97.5,98.8,92.2,96.4,94.5,94.3,99.3,106,101.5,99.4,95.6,102.1,101.4,100.6
1101105000,めっき鋼材,65.5,86.3,89,100,90.5,100.9,91.2,99.1,98.5,86,92.2,97.6,95.5,97.8,93.5,96.6,81.8,89.3,98.7,75.3,80.9,90.8,94.7,89.7,93.4,122.4,103.2,81,83.8,83.8,96.6,97.8,103.8,107.5,101.1,91.1,91.4,95.9,91.1,86.5,100.6,99.5,104.4,91.8,90.7,97.5,102.7,103.3
1101106000,鋳鍛造品,23.1,80.2,86,100,85.3,89.8,90.7,95.5,94.7,81.5,88.3,96.7,87.5,91,92.4,94.2,78.7,78.6,83.4,80.1,84.1,83.6,86.6,89.6,93.4,133.9,94.1,78.6,80.1,83.6,91.1,86.3,88.8,96,88,86.3,93.8,90.8,89.7,88.7,100.5,94.4,96.5,90.5,95.4,94.5,95.9,93.2
1101200000,非鉄金属工業,329.6,91.9,96.1,100,98.1,109,115.6,111.2,114.4,92.3,96.5,100.1,99.7,112.8,112.4,113.5,92.2,90.8,95.1,89.6,93.7,98.7,96.1,95.9,95.4,111.9,101.9,90.9,95.8,97.5,99.6,99.3,102.4,110.3,109.2,114,117.9,116.8,118.3,109.2,105.4,110,118.8,110.4,114.9,111.3,113.9,117.4
1101201000,非鉄金属精錬・精製品,135.7,100.7,105.7,100,109.8,112.2,112.7,106.4,119.3,101,104.2,102.1,110.3,114.8,106.7,112.1,105.1,97.6,101.3,98.9,106,112.7,103.4,100.6,99.9,111.4,97.3,91.4,108.3,108.4,111.9,110.4,110.5,115.1,110.9,112.1,121,119.4,109.9,100.4,97.2,101.5,111.1,116,119.8,115.6,116.4,125.5
1101202000,非鉄金属圧延製品,95.3,78.2,88.1,100,81.3,92.4,105,104.8,105,80.4,90.5,97.7,81.6,96.8,105.4,104.3,74.7,76,82.1,80,83.4,87.5,90.2,91.2,92.9,105.7,109.7,91.7,83.8,77,79,85.3,85,90.1,94.4,100.1,102.5,106.8,107.7,103.2,104,103.4,108.1,103.6,102.3,100.8,109.1,108
1101203000,電線・ケーブル,98.6,93.1,90.7,100,98.2,120.6,129.7,123.8,116.6,91.9,91.9,99.6,102.6,125.7,127.1,124.4,91.5,95.6,99.1,86,86.7,90.1,91.9,93.9,91.5,118.4,100.9,89.2,90.1,102.5,102.6,97.5,107.9,123.1,121.3,130,128.4,122.9,140.1,127.2,118.1,128.1,139.9,109.2,120.3,115.6,115.2,115.2
1101204000,非鉄金属鋳物,0.0,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1102000000,金属製品工業,365.9,87.8,90.7,100,90.3,98.6,113.1,109.6,107.4,87.7,92.5,98.2,91.2,103,113.2,107.9,91.9,88.9,89.4,81,91.6,91.3,90.2,89.6,98.7,112.5,99.8,89,91.3,89.9,91.8,88.2,95.1,97.8,101,100.4,113,115.4,116.8,107.4,113.4,110.6,111.1,103.2,106.7,109.2,109.7,103.9
1102001000,建設用金属製品,0.0,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
1102002000,建築用金属製品,90.4,90,94.5,100,90,94.6,103.8,98.6,99.4,89.8,98.4,96.6,89.7,99.1,102.5,97.3,93,95.5,93.2,78.2,92.4,97,96.5,92.1,108.1,111,99.5,81.5,94.5,91.5,92.1,82.1,93.3,96.2,99.2,89.8,111.2,108.3,103.4,92.5,105.6,100.3,99.5,89.1,100.2,96.6,104.3,96.5
