品目名称,2020CY,2024CY,level_vs_2020
鉱工業,100.0,106.1,6.099999999999994
製造工業,100.0,106.1,6.099999999999994
鉄鋼・非鉄金属工業,100.0,99.0,-1.0
鉄鋼業,100.0,95.6,-4.400000000000006
鉄鋼粗製品,100.0,93.5,-6.5
熱間圧延鋼材,100.0,95.2,-4.799999999999997
冷間仕上鋼材,100.0,100.6,0.5999999999999943
鋼管,100.0,101.6,1.5999999999999943
めっき鋼材,100.0,99.1,-0.9000000000000057
鋳鍛造品,100.0,95.5,-4.5
非鉄金属工業,100.0,111.2,11.200000000000003
非鉄金属精錬・精製品,100.0,106.4,6.400000000000006
非鉄金属圧延製品,100.0,104.8,4.799999999999997
電線・ケーブル,100.0,123.8,23.799999999999997
金属製品工業,100.0,109.6,9.599999999999994
建築用金属製品,100.0,98.6,-1.4000000000000057
暖房・調理等装置,100.0,140.7,40.69999999999999
粉末冶金製品,100.0,129.4,29.400000000000006
金属線製品,100.0,109.0,9.0
缶類,100.0,109.0,9.0
その他の金属製品,100.0,84.4,-15.599999999999994
生産用機械工業,100.0,103.3,3.299999999999997
農業用機械,100.0,125.1,25.099999999999994
建設・鉱山機械,100.0,102.6,2.5999999999999943
金属加工機械,100.0,106.3,6.299999999999997
機械工具,100.0,98.4,-1.5999999999999943
汎用・業務用機械工業,100.0,122.3,22.299999999999997
汎用機械工業,100.0,101.3,1.2999999999999972
ボイラ・原動機,100.0,114.5,14.5
ポンプ・圧縮機器,100.0,97.5,-2.5
冷凍機・温湿調整装置,100.0,82.7,-17.299999999999997
汎用機械器具部品,100.0,104.1,4.099999999999994
業務用機械工業,100.0,151.4,51.400000000000006
事務用機器,100.0,100.3,0.29999999999999716
サービス用機器,100.0,54.1,-45.9
計測機器,100.0,186.0,86.0
分析機器・試験機,100.0,370.2,270.2
光学機器・レンズ,100.0,110.7,10.700000000000003
電子部品・デバイス工業,100.0,116.4,16.400000000000006
集積回路（ＩＣ）,100.0,127.0,27.0
電子デバイス,100.0,102.5,2.5
電気・情報通信機械工業,100.0,122.8,22.799999999999997
電気機械工業,100.0,117.3,17.299999999999997
その他の産業用電気機械,100.0,82.5,-17.5
家事用機器,100.0,132.7,32.69999999999999
空調・住宅関連機器,100.0,178.0,78.0
配線・電球・照明器具,100.0,97.6,-2.4000000000000057
電池,100.0,130.2,30.19999999999999
電気計測器,100.0,97.3,-2.700000000000003
情報通信機械工業,100.0,137.9,37.900000000000006
無線通信機器,100.0,244.1,144.1
民生用電子機械,100.0,117.8,17.799999999999997
電子計算機,100.0,76.2,-23.799999999999997
輸送機械工業,100.0,113.2,13.200000000000003
自動車工業,100.0,112.8,12.799999999999997
乗用車,100.0,113.6,13.599999999999994
トラック,100.0,114.6,14.599999999999994
車体・自動車部品,100.0,107.5,7.5
二輪自動車,100.0,95.5,-4.5
輸送機械工業（除．自動車工業）,100.0,130.6,30.599999999999994
産業車両,100.0,130.6,30.599999999999994
窯業・土石製品工業,100.0,116.8,16.799999999999997
ガラス・同製品,100.0,119.0,19.0
セメント・同製品,100.0,128.5,28.5
陶磁器・同関連製品,100.0,110.6,10.599999999999994
その他の窯業・土石製品,100.0,99.2,-0.7999999999999972
化学工業,100.0,98.1,-1.9000000000000057
化学工業（除．医薬品）,100.0,98.1,-1.9000000000000057
無機・有機化学工業,100.0,104.3,4.299999999999997
無機化学工業製品,100.0,94.7,-5.299999999999997
石油化学系基礎製品,100.0,106.9,6.900000000000006
脂肪族系中間物,100.0,131.5,31.5
環式中間物,100.0,125.3,25.299999999999997
プラスチック,100.0,105.5,5.5
その他の有機化学工業製品,100.0,92.6,-7.400000000000006
化学工業（除．無機・有機化学工業）,100.0,87.8,-12.200000000000003
化学工業（除．無機・有機化学工業・医薬品）,100.0,87.8,-12.200000000000003
化学肥料,100.0,124.6,24.599999999999994
塗料・印刷インキ,100.0,101.8,1.7999999999999972
洗剤・界面活性剤,100.0,104.4,4.400000000000006
化粧品,100.0,76.9,-23.099999999999994
石油・石炭製品工業,100.0,109.5,9.5
石油製品,100.0,105.3,5.299999999999997
石炭製品,100.0,145.1,45.099999999999994
プラスチック製品工業,100.0,116.7,16.700000000000003
プラスチック製管・フィルム・シート・建材類,100.0,114.3,14.299999999999997
工業用プラスチック製品,100.0,146.0,46.0
発泡プラスチック製品,100.0,110.1,10.099999999999994
プラスチック製日用雑貨・容器類,100.0,113.2,13.200000000000003
パルプ・紙・紙加工品工業,100.0,97.7,-2.299999999999997
紙,100.0,88.1,-11.900000000000006
板紙,100.0,108.5,8.5
紙加工品,100.0,124.8,24.799999999999997
食料品・たばこ工業,100.0,101.9,1.9000000000000057
食用油脂,100.0,102.2,2.200000000000003
糖類,100.0,87.4,-12.599999999999994
その他工業,100.0,99.0,-1.0
繊維工業,100.0,95.4,-4.599999999999994
繊維,100.0,114.0,14.0
織物,100.0,87.7,-12.299999999999997
染色整理,100.0,100.6,0.5999999999999943
繊維製品・粗製品,100.0,86.0,-14.0
木材・木製品工業,100.0,118.2,18.200000000000003
