品目番号,品目名称,出荷ウエイト,2018CY,2019CY,2020CY,2021CY,2022CY,2023CY,2024CY,2025CY,2018FY,2019FY,2020FY,2021FY,2022FY,2023FY,2024FY,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
1000000000,鉱工業,10000.0,114.9,112.0,100,104.4,103.9,103.2,99.9,99.5,114.4,110.4,99.7,103.8,103.7,102.0,100.0,116.0,112.2,113.1,118.3,114.0,109.7,113.4,110.7,107.9,87.4,97.9,106.8,106.5,103.4,101.3,106.3,104.2,99.5,105.5,106.4,103.5,100.4,102.9,106.1,98.7,97.3,99.8,103.6,99.4,97.0,98.7,102.8
1100000000,製造工業,9986.0,114.9,112.0,100,104.4,103.9,103.3,99.9,99.5,114.4,110.4,99.7,103.8,103.7,102.1,100.0,116.0,112.2,113.1,118.3,114.0,109.7,113.4,110.7,107.9,87.4,97.9,106.8,106.5,103.4,101.3,106.3,104.2,99.5,105.5,106.4,103.5,100.4,102.9,106.2,98.7,97.3,99.8,103.6,99.4,97.1,98.7,102.8
1101000000,鉄鋼・非鉄金属工業,857.3,122.2,115.3,100,110.8,106.6,103.3,99.5,96.4,121.1,113.9,99.5,110.2,105.5,102.2,99.0,122.9,122.9,117.4,125.6,118.4,115.8,114.4,112.6,112.9,87.2,93.4,106.5,111.0,111.4,109.7,111.2,108.7,107.2,104.0,106.4,104.2,103.6,102.9,102.6,99.8,99.3,98.4,100.4,97.9,96.2,95.9,95.5
1101100000,鉄鋼業,517.2,127.8,120.1,100,114.5,107.7,104.2,98.9,95.9,126.2,118.0,99.6,114.0,105.9,103.0,98.0,130.0,127.5,121.6,131.9,123.9,120.7,119.5,116.2,115.7,87.1,90.9,106.3,114.1,114.8,114.1,115.1,112.0,108.5,103.5,106.9,104.7,103.9,104.4,103.9,99.6,98.0,98.2,99.6,96.3,95.8,96.0,95.5
1101101000,鉄鋼粗製品,28.5,118.8,107.8,100,99.4,85.8,84.3,80.4,74.5,113.0,116.2,91.0,97.9,84.5,83.2,81.0,123.1,124.8,112.3,115.2,99.7,112.7,104.9,113.9,133.4,104.2,82.0,80.4,97.3,105.8,96.7,97.9,91.3,93.8,79.1,79.0,86.0,90.2,78.1,83.0,81.5,81.8,82.5,75.6,83.8,78.1,68.6,67.6
1101102000,熱間圧延鋼材,259.6,125.9,119.3,100,115.2,109.7,105.4,100.2,96.1,124.0,116.8,100.3,115.3,107.8,104.2,98.7,129.4,125.4,118.9,129.7,122.1,121.4,119.2,114.3,112.3,88.4,92.4,106.9,113.6,115.1,115.9,116.3,113.9,112.4,104.8,107.7,106.1,106.3,105.5,103.7,101.3,100.5,98.8,100.1,95.3,96.3,96.5,96.4
1101103000,冷間仕上鋼材,89.4,131.0,122.9,100,121.6,110.2,104.4,100.0,99.0,130.2,120.4,101.2,119.7,107.5,103.3,99.5,130.9,130.0,125.6,137.4,127.6,121.6,122.2,120.1,117.8,83.5,86.1,112.6,122.7,121.1,121.0,121.5,115.1,109.1,106.6,109.8,104.6,101.2,106.5,105.1,100.5,96.7,101.4,101.4,98.6,97.9,101.8,97.9
1101104000,鋼管,39.6,133.8,125.3,100,96.3,98.6,95.2,89.6,85.8,134.1,121.1,93.2,98.2,97.4,94.3,88.5,136.7,133.5,127.3,137.6,138.1,117.1,124.7,121.1,121.6,94.7,95.1,88.6,94.5,94.6,96.9,99.1,102.1,98.5,96.2,97.7,97.4,93.1,95.0,95.4,93.8,83.3,89.7,91.5,89.6,83.5,85.2,85.0
1101105000,めっき鋼材,47.4,130.9,123.0,100,116.6,102.3,104.2,99.0,96.3,130.3,120.3,100.2,113.7,101.7,102.3,98.9,132.4,129.3,123.9,137.9,130.0,120.9,122.7,118.1,119.5,85.0,87.1,108.5,120.1,117.6,114.7,113.9,108.8,96.6,97.5,106.5,106.4,100.7,104.7,105.0,98.9,98.6,96.3,102.4,98.3,96.1,96.2,94.6
1101106000,鋳鍛造品,52.7,129.1,119.4,100,119.2,117.3,115.8,107.0,108.4,127.9,116.5,102.2,118.8,115.5,113.9,108.0,128.2,129.0,126.3,132.9,123.3,122.5,117.5,114.2,111.7,73.8,96.9,117.5,120.4,120.7,115.2,120.4,118.9,113.9,116.0,120.5,111.7,115.7,115.7,120.1,104.1,107.0,106.3,110.7,107.8,108.5,106.9,110.2
