品目名称,slope,r_squared,p_value,trend
鉱工業,-0.429,0.3356,0.0012,下降
製造工業,-0.4276,0.3333,0.0013,下降
鉄鋼・非鉄金属工業,-0.7123,0.4063,0.0003,下降
鉄鋼業,-0.8993,0.431,0.0001,下降
鉄鋼粗製品,-0.8828,0.4696,0.0001,下降
熱間圧延鋼材,-0.911,0.4585,0.0001,下降
冷間仕上鋼材,-1.0995,0.4498,0.0001,下降
鋼管,-1.7609,0.7156,0.0,下降
めっき鋼材,-1.1966,0.4717,0.0001,下降
鋳鍛造品,-0.4287,0.1027,0.0964,下降
非鉄金属工業,-0.4614,0.3177,0.0018,下降
非鉄金属精錬・精製品,-0.291,0.2681,0.0048,下降
非鉄金属圧延製品,-0.7668,0.4641,0.0001,下降
電線・ケーブル,0.1005,0.0176,0.501,上昇
非鉄金属鋳物,-0.6777,0.1729,0.0277,下降
金属製品工業,-0.6887,0.5941,0.0,下降
建設用金属製品,-0.6598,0.4233,0.0002,下降
建築用金属製品,-0.845,0.5407,0.0,下降
暖房・調理等装置,-0.5175,0.0954,0.1097,下降
粉末冶金製品,-1.1615,0.5135,0.0,下降
金属線製品,-1.1754,0.6612,0.0,下降
缶類,-0.6077,0.6839,0.0,下降
その他の金属製品,-0.3681,0.0914,0.1179,下降
生産用機械工業,0.3092,0.0491,0.2569,上昇
農業用機械,-1.4704,0.4316,0.0001,下降
建設・鉱山機械,0.6452,0.1303,0.0592,上昇
生活関連産業用機械,-1.3741,0.4781,0.0,下降
基礎素材産業用機械,-0.7846,0.2401,0.0081,下降
金属加工機械,-1.6773,0.2563,0.006,下降
半導体・フラットパネルディスプレイ製造装置,2.182,0.5252,0.0,上昇
機械工具,-0.5079,0.1573,0.0366,下降
その他の生産用機械,-0.2439,0.0207,0.4653,下降
汎用・業務用機械工業,-0.3698,0.124,0.0662,下降
汎用機械工業,-0.4693,0.1628,0.0333,下降
ボイラ・原動機,-1.4109,0.2758,0.0041,下降
ポンプ・圧縮機器,0.0867,0.0079,0.6529,上昇
運搬装置,-0.4938,0.0529,0.2389,下降
冷凍機・温湿調整装置,-0.1566,0.0203,0.4699,下降
汎用機械器具部品,-0.5812,0.2688,0.0047,下降
業務用機械工業,0.0184,0.0004,0.9174,上昇
事務用機器,1.7848,0.2399,0.0081,上昇
サービス用機器,-1.9358,0.5698,0.0,下降
計測機器,-0.5399,0.1909,0.0201,下降
分析機器・試験機,1.1911,0.4064,0.0003,上昇
光学機器・レンズ,-1.9143,0.5917,0.0,下降
電子部品・デバイス工業,-0.0193,0.0004,0.9149,下降
集積回路（ＩＣ）,1.3141,0.5368,0.0,上昇
電子デバイス,-2.199,0.7445,0.0,下降
電子部品,-0.7272,0.1973,0.0179,下降
電子回路,0.2177,0.0345,0.3439,上昇
その他の電子部品,0.2516,0.0505,0.2504,上昇
電気・情報通信機械工業,-0.4959,0.2826,0.0036,下降
電気機械工業,-0.2519,0.0956,0.1094,下降
回転電気機械,-0.1828,0.0397,0.3095,下降
開閉制御装置・機器,-0.7541,0.2019,0.0165,下降
その他の産業用電気機械,-1.1707,0.4392,0.0001,下降
家事用機器,-1.3971,0.6206,0.0,下降
空調・住宅関連機器,-0.7099,0.1508,0.0412,下降
配線・電球・照明器具,-0.8577,0.358,0.0008,下降
電池,0.8336,0.2428,0.0077,上昇
電子応用装置,1.1887,0.3562,0.0008,上昇
電気計測器,0.7773,0.3096,0.0021,上昇
情報通信機械工業,-1.3765,0.5178,0.0,下降
有線通信機器,0.2355,0.0184,0.4912,上昇
無線通信機器,-2.3892,0.5527,0.0,下降
民生用電子機械,-1.0506,0.2641,0.0052,下降
電子計算機,-1.6911,0.3415,0.0011,下降
情報端末装置,-0.7353,0.2129,0.0134,下降
輸送機械工業,-0.5629,0.1155,0.0769,下降
自動車工業,-0.6084,0.1234,0.0668,下降
乗用車,-0.5645,0.0811,0.1419,下降
トラック,-0.5126,0.1197,0.0713,下降
車体・自動車部品,-0.7414,0.2076,0.0148,下降
二輪自動車,1.5593,0.1628,0.0332,上昇
輸送機械工業（除．自動車工業）,-0.346,0.0345,0.3443,下降
産業車両,0.0815,0.003,0.7817,上昇
航空機部品,0.4621,0.0139,0.5497,上昇
船舶・同機関,-1.0553,0.623,0.0,下降
窯業・土石製品工業,-0.9403,0.7277,0.0,下降
ガラス・同製品,-0.7524,0.4443,0.0001,下降
セメント・同製品,-1.0075,0.7346,0.0,下降
陶磁器・同関連製品,-1.066,0.6901,0.0,下降
その他の窯業・土石製品,-0.8753,0.4695,0.0001,下降
化学工業,-0.4923,0.5214,0.0,下降
化学工業（除．医薬品）,-0.9296,0.7546,0.0,下降
無機・有機化学工業,-1.1221,0.7016,0.0,下降
無機化学工業製品,-0.6097,0.3618,0.0007,下降
石油化学系基礎製品,-1.2826,0.7256,0.0,下降
脂肪族系中間物,-1.2085,0.648,0.0,下降
環式中間物,-1.9691,0.8098,0.0,下降
プラスチック,-0.8992,0.583,0.0,下降
その他の有機化学工業製品,-1.2336,0.5222,0.0,下降
化学工業（除．無機・有機化学工業）,-0.0248,0.0019,0.825,下降
化学工業（除．無機・有機化学工業・医薬品）,-0.7215,0.6064,0.0,下降
化学肥料,-1.0457,0.4779,0.0,下降
塗料・印刷インキ,-0.7298,0.5727,0.0,下降
洗剤・界面活性剤,0.0343,0.0024,0.8034,上昇
化粧品,-1.1707,0.6268,0.0,下降
石油・石炭製品工業,-0.815,0.3826,0.0005,下降
石油製品,-0.8089,0.3537,0.0008,下降
石炭製品,-0.9106,0.84,0.0,下降
プラスチック製品工業,-0.3947,0.4507,0.0001,下降
プラスチック製管・フィルム・シート・建材類,-0.6216,0.6533,0.0,下降
工業用プラスチック製品,-0.2216,0.0429,0.2902,下降
発泡プラスチック製品,-0.4875,0.4454,0.0001,下降
プラスチック製日用雑貨・容器類,-0.0356,0.0033,0.7704,下降
パルプ・紙・紙加工品工業,-0.6813,0.7173,0.0,下降
パルプ,-0.8167,0.4264,0.0002,下降
紙,-1.3375,0.7925,0.0,下降
板紙,-0.0785,0.0324,0.3597,下降
紙加工品,-0.3952,0.3953,0.0003,下降
食料品・たばこ工業,-0.1709,0.1114,0.0826,下降
肉加工品,-0.0009,0.0,0.9928,下降
乳製品,-0.1212,0.1659,0.0314,下降
水産・野菜食料品,0.2623,0.0834,0.136,上昇
食用油脂,-0.4284,0.4147,0.0002,下降
調味料,-0.1704,0.0633,0.1967,下降
糖類,-0.2526,0.0655,0.1888,下降
製粉・調整粉,-0.1803,0.1078,0.088,下降
パン・菓子,-0.2364,0.3172,0.0018,下降
麺類,-0.0993,0.072,0.1673,下降
清涼飲料,-0.4049,0.0577,0.2183,下降
酒類,0.0556,0.0026,0.7959,上昇
その他工業,-0.8103,0.6339,0.0,下降
繊維工業,-1.0568,0.7654,0.0,下降
繊維,-1.1261,0.6364,0.0,下降
織物,-0.5718,0.2108,0.014,下降
染色整理,-0.9055,0.5885,0.0,下降
繊維製品・粗製品,-1.3681,0.915,0.0,下降
木材・木製品工業,-0.8299,0.594,0.0,下降
木材・木製品,-0.8299,0.594,0.0,下降
家具工業,-0.5422,0.2151,0.0129,下降
家具,-0.5422,0.2151,0.0129,下降
印刷業,-1.0224,0.8339,0.0,下降
印刷,-1.0224,0.8339,0.0,下降
ゴム製品工業,-0.5898,0.2222,0.0113,下降
ゴム製品,-0.5898,0.2222,0.0113,下降
その他製品工業,-0.3707,0.1095,0.0855,下降
時計,-2.5684,0.4346,0.0001,下降
楽器,-0.5587,0.127,0.0627,下降
玩具,0.9914,0.5345,0.0,上昇
文具,-0.2684,0.0433,0.288,下降
皮革製品,-2.0437,0.6943,0.0,下降
鉱業,-1.0681,0.8797,0.0,下降
産業総合（鉱工業、電力・ガス・熱供給・水道事業）,-0.415,0.3317,0.0013,下降
産業総合（鉱工業、電力・ガス・熱供給）,-0.4148,0.3292,0.0014,下降
電力・ガス・熱供給・水道事業,-0.1581,0.0243,0.4281,下降
電力・ガス・熱供給,-0.1649,0.024,0.4315,下降
機械工業,-0.3048,0.1018,0.098,下降
非機械工業,-0.5262,0.5925,0.0,下降
<旧分類>はん用・生産用・業務用機械工業,-0.0199,0.0003,0.9294,下降
<旧特掲>普通鋼鋼材,-0.9753,0.5495,0.0,下降
<旧特掲>特殊鋼鋼材,-1.2314,0.427,0.0002,下降
<旧特掲>乗用車・トラック,-0.5567,0.0935,0.1135,下降
<旧特掲>石油化学製品,-1.3226,0.7261,0.0,下降
